状态,文件路径,分类目录,功能/玩法分类,所属模块,备注,需要主团队评估
Both,WeA/common/src/main/java/com/tencent/cachelock/CacheLockDBDriver.java,WeA/common/src/main/java/com/tencent/cache,cache,公共库,,
Both,WeA/common/src/main/java/com/tencent/cachelock/CacheLockErrorCode.java,WeA/common/src/main/java/com/tencent/cache,cache,公共库,,
Only A,WeA/common/src/main/java/com/tencent/cachelock/CacheLockTlogMgr.java,WeA/common/src/main/java/com/tencent/cache,cache,公共库,,
Both,WeA/common/src/main/java/com/tencent/cl5/PolarisUtil.java,Java公共代码,Java公共代码,公共库,,
Both,WeA/common/src/main/java/com/tencent/coLoadingCache/CoLoadingCache.java,Java公共代码,Java公共代码,公共库,,
Both,WeA/common/src/main/java/com/tencent/condition/event/commercial/DeliverGamePlayItemEvent.java,WeA/common/src/main/java/com/tencent/condition,condition,公共库,,
Only B,WeA/common/src/main/java/com/tencent/condition/event/commercial/MonthCardTimeChangeEvent.java,WeA/common/src/main/java/com/tencent/condition,condition,公共库,,
Only B,WeA/common/src/main/java/com/tencent/condition/event/gameplay/GameplayDataEvent.java,WeA/common/src/main/java/com/tencent/condition,condition,公共库,,
Only B,WeA/common/src/main/java/com/tencent/condition/event/player/common/FarmPartyEnterEvent.java,WeA/common/src/main/java/com/tencent/condition,condition,公共库,,
Only B,WeA/common/src/main/java/com/tencent/condition/event/player/common/FarmPartyPublishEvent.java,WeA/common/src/main/java/com/tencent/condition,condition,公共库,,
Only B,WeA/common/src/main/java/com/tencent/condition/event/player/common/WolfReturnReceiveInvitationEvent.java,WeA/common/src/main/java/com/tencent/condition,condition,公共库,,
Both,WeA/common/src/main/java/com/tencent/condition/group/BaseConditionGroup.java,WeA/common/src/main/java/com/tencent/condition,condition,公共库,,
Only B,WeA/common/src/main/java/com/tencent/condition/main/ConditionWolfReturnReceiveInvitation.java,WeA/common/src/main/java/com/tencent/condition,condition,公共库,,
Only B,WeA/common/src/main/java/com/tencent/condition/main/FarmPartyEnterCount.java,WeA/common/src/main/java/com/tencent/condition,condition,公共库,,
Only B,WeA/common/src/main/java/com/tencent/condition/main/FarmPartyPublishCount.java,WeA/common/src/main/java/com/tencent/condition,condition,公共库,,
Only B,WeA/common/src/main/java/com/tencent/condition/main/PlayerTeleportTimes.java,WeA/common/src/main/java/com/tencent/condition,condition,公共库,,
Only B,WeA/common/src/main/java/com/tencent/condition/main/gameplay/GameplayState.java,WeA/common/src/main/java/com/tencent/condition,condition,公共库,,
Only B,WeA/common/src/main/java/com/tencent/condition/main/gameplay/GameplayStatistics.java,WeA/common/src/main/java/com/tencent/condition,condition,公共库,,
Only B,WeA/common/src/main/java/com/tencent/condition/sub/FarmFishQualityMatch.java,WeA/common/src/main/java/com/tencent/condition,condition,公共库,,
Both,WeA/common/src/main/java/com/tencent/condition/sub/SubConditionSkillGrade.java,WeA/common/src/main/java/com/tencent/condition,condition,公共库,,
Only B,WeA/common/src/main/java/com/tencent/condition/sub/gameplay/GameplayFeatureId.java,WeA/common/src/main/java/com/tencent/condition,condition,公共库,,
Only B,WeA/common/src/main/java/com/tencent/condition/sub/gameplay/GameplayStatisticsComparison.java,WeA/common/src/main/java/com/tencent/condition,condition,公共库,,
Both,WeA/common/src/main/java/com/tencent/distributedLock/DistributedLockInterface.java,WeA/common/src/main/java/com/tencent/distributedLock,distributedLock,公共库,,
Both,WeA/common/src/main/java/com/tencent/distributedLock/DistributedLockMgr.java,WeA/common/src/main/java/com/tencent/distributedLock,distributedLock,公共库,,
Both,WeA/common/src/main/java/com/tencent/distributedLock/DistributedLockType.java,WeA/common/src/main/java/com/tencent/distributedLock,distributedLock,公共库,,
Both,WeA/common/src/main/java/com/tencent/es/Elasticsearch.java,Java公共代码,Java公共代码,公共库,,
Only B,WeA/common/src/main/java/com/tencent/esFarm/ESManager.java,Java公共代码,Java公共代码,公共库,,
Both,WeA/common/src/main/java/com/tencent/eventcenter/BaseEvent.java,Java公共代码,Java公共代码,公共库,,
Both,WeA/common/src/main/java/com/tencent/eventcenter/mq/EventMessageHandler.java,Java公共代码,Java公共代码,公共库,,
Both,WeA/common/src/main/java/com/tencent/eventcenter/mq/EventProduceService.java,Java公共代码,Java公共代码,公共库,,
Only B,WeA/common/src/main/java/com/tencent/farm/BitKVStore.java,WeA/common/src/main/java/com/tencent/farm,farm,公共库,,
Both,WeA/common/src/main/java/com/tencent/farm/DateTime.java,WeA/common/src/main/java/com/tencent/farm,farm,公共库,,
Both,WeA/common/src/main/java/com/tencent/farm/FarmRainbow.java,WeA/common/src/main/java/com/tencent/farm,farm,公共库,,
Both,WeA/common/src/main/java/com/tencent/farm/RainbowKeys.java,WeA/common/src/main/java/com/tencent/farm,farm,公共库,,
Both,WeA/common/src/main/java/com/tencent/farm/Util.java,WeA/common/src/main/java/com/tencent/farm,farm,公共库,,
Both,WeA/common/src/main/java/com/tencent/g6/irpc/G6IrpcClient.java,WeA/common/src/main/java/com/tencent/g6,g6,公共库,,
Both,WeA/common/src/main/java/com/tencent/g6/irpc/IrpcClientDispatcher.java,WeA/common/src/main/java/com/tencent/g6,g6,公共库,,
Both,WeA/common/src/main/java/com/tencent/g6/irpc/IrpcServerDispatcher.java,WeA/common/src/main/java/com/tencent/g6,g6,公共库,,
Both,WeA/common/src/main/java/com/tencent/gameplay/GamePlay.java,Java公共代码,Java公共代码,公共库,,
Both,WeA/common/src/main/java/com/tencent/hotresourceloader/HotResHolder.java,WeA/common/src/main/java/com/tencent/hotresourceloader,hotresourceloader,公共库,,
Both,WeA/common/src/main/java/com/tencent/hotresourceloader/HotResRedisDataLoaded.java,WeA/common/src/main/java/com/tencent/hotresourceloader,hotresourceloader,公共库,,
Both,WeA/common/src/main/java/com/tencent/hotresourceloader/HotResRedisDataSaved.java,WeA/common/src/main/java/com/tencent/hotresourceloader,hotresourceloader,公共库,,
Both,WeA/common/src/main/java/com/tencent/hotresourceloader/HotResRedisLoader.java,WeA/common/src/main/java/com/tencent/hotresourceloader,hotresourceloader,公共库,,
Both,WeA/common/src/main/java/com/tencent/hotresourceloader/HotResTable.java,WeA/common/src/main/java/com/tencent/hotresourceloader,hotresourceloader,公共库,,
Both,WeA/common/src/main/java/com/tencent/hotresourceloader/HotResTableSync.java,WeA/common/src/main/java/com/tencent/hotresourceloader,hotresourceloader,公共库,,
Both,WeA/common/src/main/java/com/tencent/hotresourceloader/hotresclass/HotResStarWorldPageCfg.java,WeA/common/src/main/java/com/tencent/hotresourceloader,hotresourceloader,公共库,,
Only B,WeA/common/src/main/java/com/tencent/hotresourceloader/hotresconfigclass/HotResClientConfigWithStringIdBaseConfig.java,WeA/common/src/main/java/com/tencent/hotresourceloader,hotresourceloader,公共库,,
Both,WeA/common/src/main/java/com/tencent/match/MatchRouteMgr.java,WeA/common/src/main/java/com/tencent/match,match,公共库,,
Both,WeA/common/src/main/java/com/tencent/match/matchConfigProxyMgr/ConfigProxyMgr.java,WeA/common/src/main/java/com/tencent/match,match,公共库,,
Both,WeA/common/src/main/java/com/tencent/match/matchConfigProxyMgr/DynamicConfigMgr.java,WeA/common/src/main/java/com/tencent/match,match,公共库,,
Both,WeA/common/src/main/java/com/tencent/mqueue/core/ZOnce.java,WeA/common/src/main/java/com/tencent/mqueue,mqueue,公共库,,
Both,WeA/common/src/main/java/com/tencent/mqueue/pulsar/PConsumer.java,WeA/common/src/main/java/com/tencent/mqueue,mqueue,公共库,,
Both,WeA/common/src/main/java/com/tencent/mqueue/pulsar/PErrorCode.java,WeA/common/src/main/java/com/tencent/mqueue,mqueue,公共库,,
Both,WeA/common/src/main/java/com/tencent/mqueue/pulsar/PProducer.java,WeA/common/src/main/java/com/tencent/mqueue,mqueue,公共库,,
Both,WeA/common/src/main/java/com/tencent/mqueue/pulsar/PTopic.java,WeA/common/src/main/java/com/tencent/mqueue,mqueue,公共库,,
Only B,WeA/common/src/main/java/com/tencent/mqueue/pulsar/PUtil.java,WeA/common/src/main/java/com/tencent/mqueue,mqueue,公共库,,
Both,WeA/common/src/main/java/com/tencent/mqueue/pulsar/Pulsar.java,WeA/common/src/main/java/com/tencent/mqueue,mqueue,公共库,,
Both,WeA/common/src/main/java/com/tencent/nk/commonframework/Framework.java,WeA/common/src/main/java/com/tencent/nk,nk,公共库,,
Both,WeA/common/src/main/java/com/tencent/nk/commonframework/ServerEngine.java,WeA/common/src/main/java/com/tencent/nk,nk,公共库,,
Only B,WeA/common/src/main/java/com/tencent/nk/idip/IdipUserInfo.java,WeA/common/src/main/java/com/tencent/nk,nk,公共库,,
Both,WeA/common/src/main/java/com/tencent/nk/idip/IdipUtil.java,WeA/common/src/main/java/com/tencent/nk,nk,公共库,,
Both,WeA/common/src/main/java/com/tencent/nk/timer/TimerProfiler.java,WeA/common/src/main/java/com/tencent/nk,nk,公共库,,
Both,WeA/common/src/main/java/com/tencent/nk/timer/TimerType.java,WeA/common/src/main/java/com/tencent/nk,nk,公共库,,
Both,WeA/common/src/main/java/com/tencent/nk/tlog/TlogManager.java,WeA/common/src/main/java/com/tencent/nk,nk,公共库,,
Both,WeA/common/src/main/java/com/tencent/nk/tlog/TlogSecFlow.java,WeA/common/src/main/java/com/tencent/nk,nk,公共库,,
Only B,WeA/common/src/main/java/com/tencent/nk/transferplat/TransferPlatUtil.java,WeA/common/src/main/java/com/tencent/nk,nk,公共库,,
Both,WeA/common/src/main/java/com/tencent/nk/util/NKErrorCode.java,WeA/common/src/main/java/com/tencent/nk,nk,公共库,,
Both,WeA/common/src/main/java/com/tencent/nk/util/exception/RpcException.java,WeA/common/src/main/java/com/tencent/nk,nk,公共库,,
Only B,WeA/common/src/main/java/com/tencent/nk/util/guid/FarmCookCommentReplyIdGenerator.java,WeA/common/src/main/java/com/tencent/nk,nk,公共库,,
Only B,WeA/common/src/main/java/com/tencent/nk/util/guid/FarmCookEmployeeIdGenerator.java,WeA/common/src/main/java/com/tencent/nk,nk,公共库,,
Only B,WeA/common/src/main/java/com/tencent/nk/util/guid/FarmCookVisitantIdGenerator.java,WeA/common/src/main/java/com/tencent/nk,nk,公共库,,
Both,WeA/common/src/main/java/com/tencent/nk/util/guid/GuidManager.java,WeA/common/src/main/java/com/tencent/nk,nk,公共库,,
Both,WeA/common/src/main/java/com/tencent/nk/util/guid/GuidType.java,WeA/common/src/main/java/com/tencent/nk,nk,公共库,,
Only A,WeA/common/src/main/java/com/tencent/nk/util/guid/StarPAssistOrderIdGenerator.java,WeA/common/src/main/java/com/tencent/nk,nk,公共库,,
Only A,WeA/common/src/main/java/com/tencent/nk/util/guid/StarPBattleIdGenerator.java,WeA/common/src/main/java/com/tencent/nk,nk,公共库,,
Only A,WeA/common/src/main/java/com/tencent/nk/util/guid/StarPGreyOfficialWorldIdGenerator.java,WeA/common/src/main/java/com/tencent/nk,nk,公共库,,
Only A,WeA/common/src/main/java/com/tencent/nk/util/guid/StarPGreyWorldIdGenerator.java,WeA/common/src/main/java/com/tencent/nk,nk,公共库,,
Only A,WeA/common/src/main/java/com/tencent/nk/util/guid/StarPGroupIdGenerator.java,WeA/common/src/main/java/com/tencent/nk,nk,公共库,,
Only A,WeA/common/src/main/java/com/tencent/nk/util/guid/StarPGuildIdGenerator.java,WeA/common/src/main/java/com/tencent/nk,nk,公共库,,
Only A,WeA/common/src/main/java/com/tencent/nk/util/guid/StarPOfficialWorldIdGenerator.java,WeA/common/src/main/java/com/tencent/nk,nk,公共库,,
Only A,WeA/common/src/main/java/com/tencent/nk/util/guid/StarPRoleIdGenerator.java,WeA/common/src/main/java/com/tencent/nk,nk,公共库,,
Only A,WeA/common/src/main/java/com/tencent/nk/util/guid/StarPTeamIdGenerator.java,WeA/common/src/main/java/com/tencent/nk,nk,公共库,,
Only A,WeA/common/src/main/java/com/tencent/nk/util/guid/StarPWorldIdGenerator.java,WeA/common/src/main/java/com/tencent/nk,nk,公共库,,
Both,WeA/common/src/main/java/com/tencent/profile/ProfilePlayerPublicInfoFieldConst.java,Java公共代码,Java公共代码,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/RaffleManager.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/RaffleSimulation.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/implement/BaseRaffle.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/implement/toolkit/purchase/BasePoolPurchase.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/implement/toolkit/purchase/DiscountPurchase.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/implement/toolkit/purchase/Purchase.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/implement/toolkit/purchase/TieredPurchase.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/CompatibleModel.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/ModelRegistry.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/StochasticModel.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/TreeModel.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/botextra/BotExtra.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/botextra/BotExtraPurchaseMethod.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/botextra/BotExtraRecordMethod.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/resreader/CompatibleResReader.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/resreader/ResReader.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/pool/access/Access.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/pool/access/AnyAccess.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/pool/access/BaseAccess.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/pool/access/CustomizedAccess.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/pool/access/InnerOuterAccess.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/pool/access/JumpAccess.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/pool/access/MultiLayerAccess.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/pool/access/SimpleAccess.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/pool/designator/AnyDesignator.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/pool/designator/BaseDesignator.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/pool/designator/Designator.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/pool/designator/InnerOuterDesignator.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/pool/designator/JumpDesignator.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/pool/designator/SimpleDesignator.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/reward/selection/BaseSelection.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/reward/selection/RewardSelection.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/reward/selection/StaticSelection.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/reward/selection/UserSelection.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/reward/weigher/BaseRewardWeigher.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/reward/weigher/InGroupLimitWeigher.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/reward/weigher/LimitWeigher.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/reward/weigher/RewardWeigher.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/reward/weigher/StageLimitWeigher.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/rewardgroup/dispersion/BaseDispersion.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/rewardgroup/dispersion/Dispersion.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/rewardgroup/dispersion/PeriodDrawDispersion.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/rewardgroup/dispersion/ProhibitDispersion.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/rewardgroup/guarantee/AtDrawGuarantee.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/rewardgroup/guarantee/BaseGuarantee.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/rewardgroup/guarantee/ConstantGuarantee.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/rewardgroup/guarantee/FlattenGuarantee.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/rewardgroup/guarantee/Guarantee.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/rewardgroup/guarantee/IntervalDrawGuarantee.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/rewardgroup/guarantee/LuckyValueGuarantee.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/rewardgroup/guarantee/PeriodDrawGuarantee.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/rewardgroup/guarantee/StaticGuarantee.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/rewardgroup/weigher/CompatibleWeigher.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/model/toolkit/rewardgroup/weigher/RewardGroupWeigher.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/record/Record.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/tracer/RaffleBotTracer.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/tracer/RaffleDrawStepTracer.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/tracer/RaffleTlogTracer.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/utils/AttrExtraDataUtil.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/utils/BotUtils.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Only B,WeA/common/src/main/java/com/tencent/raffle/utils/RaffleEnvUtil.java,WeA/common/src/main/java/com/tencent/raffle,raffle,公共库,,
Both,WeA/common/src/main/java/com/tencent/rainbow/config/RealtimeConfig.java,Java公共代码,Java公共代码,公共库,,
Only B,WeA/common/src/main/java/com/tencent/reddot/GeneralRedDotMgr.java,Java公共代码,Java公共代码,公共库,,
Only B,WeA/common/src/main/java/com/tencent/reddot/ModuleRedDotCenter.java,Java公共代码,Java公共代码,公共库,,
Only B,WeA/common/src/main/java/com/tencent/resourceloader/resclass/ActivityQingShuangTrialData.java,WeA/common/src/main/java/com/tencent/resourceloader,resourceloader,公共库,,
Both,WeA/common/src/main/java/com/tencent/resourceloader/resclass/ActivityWolfReturnConditionData.java,WeA/common/src/main/java/com/tencent/resourceloader,resourceloader,公共库,,
Both,WeA/common/src/main/java/com/tencent/resourceloader/resclass/ActivityWolfReturnRewardData.java,WeA/common/src/main/java/com/tencent/resourceloader,resourceloader,公共库,,
Only B,WeA/common/src/main/java/com/tencent/resourceloader/resclass/ArenaCardPackUpgradeLimitData.java,WeA/common/src/main/java/com/tencent/resourceloader,resourceloader,公共库,,
Both,WeA/common/src/main/java/com/tencent/resourceloader/resclass/ArenaHeroCardHot.java,WeA/common/src/main/java/com/tencent/resourceloader,resourceloader,公共库,,
Both,WeA/common/src/main/java/com/tencent/resourceloader/resclass/ArenaHeroStarHeroLevelData.java,WeA/common/src/main/java/com/tencent/resourceloader,resourceloader,公共库,,
Both,WeA/common/src/main/java/com/tencent/resourceloader/resclass/ArenaHeroStarRegulationFactorData.java,WeA/common/src/main/java/com/tencent/resourceloader,resourceloader,公共库,,
Both,WeA/common/src/main/java/com/tencent/resourceloader/resclass/ArenaMatchGroupData.java,WeA/common/src/main/java/com/tencent/resourceloader,resourceloader,公共库,,
Only B,WeA/common/src/main/java/com/tencent/resourceloader/resclass/ArenaWeaponSkin.java,WeA/common/src/main/java/com/tencent/resourceloader,resourceloader,公共库,,
Only B,WeA/common/src/main/java/com/tencent/resourceloader/resclass/BackpackSundryConfigData.java,WeA/common/src/main/java/com/tencent/resourceloader,resourceloader,公共库,,
Both,WeA/common/src/main/java/com/tencent/resourceloader/resclass/COCBuildingLevelConf.java,WeA/common/src/main/java/com/tencent/resourceloader,resourceloader,公共库,,
Both,WeA/common/src/main/java/com/tencent/resourceloader/resclass/ChaseIDMasteryMatchTypeGroup.java,WeA/common/src/main/java/com/tencent/resourceloader,resourceloader,公共库,,
Only B,WeA/common/src/main/java/com/tencent/resourceloader/resclass/CompetitionMedalRewardData.java,WeA/common/src/main/java/com/tencent/resourceloader,resourceloader,公共库,,
Only B,WeA/common/src/main/java/com/tencent/resourceloader/resclass/CompetitionRankRewardData.java,WeA/common/src/main/java/com/tencent/resourceloader,resourceloader,公共库,,
Only B,WeA/common/src/main/java/com/tencent/resourceloader/resclass/CompetitionScoreRewardData.java,WeA/common/src/main/java/com/tencent/resourceloader,resourceloader,公共库,,
Only B,WeA/common/src/main/java/com/tencent/resourceloader/resclass/CookSysConf.java,WeA/common/src/main/java/com/tencent/resourceloader,resourceloader,公共库,,
Both,WeA/common/src/main/java/com/tencent/resourceloader/resclass/DSAConfigData.java,WeA/common/src/main/java/com/tencent/resourceloader,resourceloader,公共库,,
Only A,WeA/common/src/main/java/com/tencent/resourceloader/resclass/DSRegionConfigData.java,WeA/common/src/main/java/com/tencent/resourceloader,resourceloader,公共库,,
Both,WeA/common/src/main/java/com/tencent/resourceloader/resclass/FarmBuffConf.java,WeA/common/src/main/java/com/tencent/resourceloader,resourceloader,公共库,,
